code,name,slug,description,provider,category_id,denom,price_sell,price_buy,admin_fee,status,service_id,,
YXCF1,"1.5GB+500MB Lokal+5Mnt Tlp, 30Hr (FLEX S)",1-5gb500mb-lokal5mnt-tlp-30hr-flex-s,,XL,7,0,16510,15510,0,1,1,,
YST10,10-30menit ALL + 170menit Sesama (3Hr),10-30menit-all-170menit-sesama-3hr,,TELKOMSEL,6,0,12775,11775,0,1,1,,
YST10A,10-30menit ALL + 170menit Sesama (3Hr),10-30menit-all-170menit-sesama-3hr,,TELKOMSEL,6,0,13500,12500,0,1,1,,
YTS30,1000 SMS All Operator,1000-sms-all-operator,,TRI,8,50000,32315,31315,0,1,1,,
YSS15,1000 SMS ke semua 15 hari,1000-sms-ke-semua-15-hari,,TELKOMSEL,6,0,18300,17300,0,0,1,,
YST70,100menit ALL + 2000menit Sesama (30Hr),100menit-all-2000menit-sesama-30hr,,TELKOMSEL,6,0,73975,72975,0,1,1,,
YST70A,100menit ALL + 2000menit Sesama (30Hr),100menit-all-2000menit-sesama-30hr,,TELKOMSEL,6,0,79250,78250,0,1,1,,
YIDN10,"10GB + 25GB Apps, Youtube + SMS&Telp Sesama 30hr",10gb-25gb-apps-youtube-sms-telp-sesama-30hr,,INDOSAT,11,0,100975,99975,0,1,1,,
YTDL10,10GB + UNLIMITED (01-17) 30Hr,10gb-unlimited-01-17-30hr,,TRI,8,10000,94975,93975,0,0,1,,
YTDL22,12GB + 10GB (01-06) + UNLIMITED Youtube 30Hr,12gb-10gb-01-06-unlimited-youtube-30hr,,TRI,8,20000,70750,69750,0,1,1,,
YSMA12,12GB + Unlimited APK 30Hr,12gb-unlimited-apk-30hr,,SMARTFREN,10,0,44990,43990,0,1,1,,
YXCF4,"15GB+4GB Lokal+5Mnt Tlp, 30Hr (FLEX XL)",15gb4gb-lokal5mnt-tlp-30hr-flex-xl,,XL,7,0,76975,75975,0,1,1,,
YST8,15menit ALL + 185menit Sesama (1Hr),15menit-all-185menit-sesama-1hr,,TELKOMSEL,6,0,11650,10650,0,1,1,,
YIDN1,1GB + 4.5GB Apps 30hr,1gb-4-5gb-apps-30hr,,INDOSAT,11,0,32975,31975,0,1,1,,
YSS1,20 SMS ke sesama telkomsel 1 hari,20-sms-ke-sesama-telkomsel-1-hari,,TELKOMSEL,6,0,3550,2550,0,1,1,,
YST20,20-50menit ALL + 350menit Sesama (7Hr),20-50menit-all-350menit-sesama-7hr,,TELKOMSEL,6,0,22975,21975,0,1,1,,
YST20A,20-50menit ALL + 350menit Sesama (7Hr),20-50menit-all-350menit-sesama-7hr,,TELKOMSEL,6,0,24450,23450,0,1,1,,
YST25,20-50menit ALL + 350menit Sesama + 200sms (7Hr),20-50menit-all-350menit-sesama-200sms-7hr,,TELKOMSEL,6,0,28975,27975,0,1,1,,
YST100,200-250menit ALL + 2250menit Sesama (30Hr),200-250menit-all-2250menit-sesama-30hr,,TELKOMSEL,6,0,103575,102575,0,1,1,,
YI25S,2000 SMS sesama Isat + 500 SMS operator lain,2000-sms-sesama-isat-500-sms-operator-lain,,INDOSAT,11,0,30040,29040,0,1,1,,
YST2,25 Menit Sesama Telkomsel (1 Hr),25-menit-sesama-telkomsel-1-hr,,TELKOMSEL,6,0,6900,5900,0,0,1,,
YTS10,250 SMS All Operator,250-sms-all-operator,,TRI,8,30000,12320,11320,0,1,1,,
YST120,250menit ALL + 6250menit Sesama (30Hr),250menit-all-6250menit-sesama-30hr,,TELKOMSEL,6,0,113250,112250,0,1,1,,
YXCF5,"26GB+3GB Lokal+5Mnt Tlp, 30Hr (FLEX XXL)",26gb3gb-lokal5mnt-tlp-30hr-flex-xxl,,XL,7,0,107975,106975,0,1,1,,
YIDN2,2GB + 7.5GB Apps 30hr,2gb-7-5gb-apps-30hr,,INDOSAT,11,0,51875,50875,0,1,1,,
YSMA2,2GB + Unlimited APK 10Hr,2gb-unlimited-apk-10hr,,SMARTFREN,10,0,12345,11345,0,1,1,,
YI5S,300 SMS sesama Isat + 100 SMS operator lain,300-sms-sesama-isat-100-sms-operator-lain,,INDOSAT,11,0,8369,7369,0,1,1,,
YSMA30,30GB + Unlimited APK 30Hr,30gb-unlimited-apk-30hr,,SMARTFREN,10,0,68820,67820,0,1,1,,
YST15,30menit ALL + 370menit Sesama (3Hr),30menit-all-370menit-sesama-3hr,,TELKOMSEL,6,0,17600,16600,0,1,1,,
YXCF6,"36GB+4GB Lokal+5Mnt Tlp, 30Hr (FLEX XXXL)",36gb4gb-lokal5mnt-tlp-30hr-flex-xxxl,,XL,7,0,130975,129975,0,1,1,,
YIDN3,"3GB + 15GB Apps, Youtube + SMS Sesama 30hr",3gb-15gb-apps-youtube-sms-sesama-30hr,,INDOSAT,11,0,72975,71975,0,1,1,,
YSMA3,3GB + Unlimited APK 14Hr,3gb-unlimited-apk-14hr,,SMARTFREN,10,0,17415,16415,0,1,1,,
