id,name,type,group,value
1,app_version_op,1,Application,>=
2,app_android_version_val,1,Application,2.1.21
3,doc_tos_version,1,Document,1.1
4,maintanance_status,4,Application,0
5,app_ios_version_val,1,Application,1.22.1
6,invitation_bonus_info,1,Info,-
7,payroll_admin_phone,1,Payroll,81282121982
8,payroll_admin_email,1,Payroll,desi@nusi.co.id
9,va_topup,3,Info,0
10,top_up_enable,4,Application,0
11,kyc_email_required,4,Application,1
12,office_location,1,Application,"Foresta Business Loft 5 Lengkong Kulon, Pagedangan, Tangerang, Banten 15331"
13,office_email,1,Office,info@nusapay.co.id
14,office_customer_service,1,Office,021-27893342
15,office_whatsapp,1,Office,889123123
16,transfer_admin_notification,1,Application,desi@nusi.co.id
17,export_email,1,Office,tech@nusi.co.id
18,otp_email_wd_amount,1,Application,300000
19,otp_email_purchase_amount,1,Application,300000
20,merchant_register_email,1,Application,desi@nusi.co.id
21,check,1,Application,1
22,nusa_user_id,3,Account,9
23,topup_min,3,Topup,10000
24,withdraw_min,3,Withdraw,10000
25,topup_offline_hour,3,Topup,21
26,topup_offline_length,3,Topup,9
27,withdraw_offline_hour,3,Withdraw,22
28,withdraw_offline_length,3,Withdraw,9
29,transfer_min,3,Transfer,1
30,topup_admin_fee,3,Topup,0
31,withdraw_admin_fee,3,Withdraw,10000
32,transfer_admin_fee,3,Transfer,0
33,ncash_days_expires,3,NCash,180
34,voucher_amount_min,3,Voucher,10000
35,topup_min_agent,3,Voucher,10000
36,nusa_promo_user_id,3,Account,13
37,withdraw_max_user,3,Withdraw,10000000
38,withdraw_max_agent,3,Withdraw,50000000
39,withdraw_max_merchant,3,Withdraw,50000000
40,withdraw_max_amount,3,Withdraw,20000000
41,transfer_group_max,3,Transfer,3
42,withdraw_group_max,3,Withdraw,3
43,switching_min,3,Switching,50000
44,switching_max,3,Switching,5000000
45,withdraw_agent_inject_merchant_fee,3,Withdraw Request,2000
46,withdraw_agent_inject_nusapay_fee,3,Withdraw Request,0
47,withdraw_max_wallet_emoney,3,Withdraw,10000000
48,withdraw_max_wallet_payroll,3,Withdraw,25000000
49,withdraw_max_wallet_merchant,3,Withdraw,25000000
50,nusa_user_merchant_id,3,Account,44
51,nusa_promo_user_merchant_id,3,Account,2
52,nusa_ppob_merchant_id,3,Account,1
53,otp_email_wd_amount,3,Withdraw,3000000000
54,otp_email_purchase_amount,3,Payment,3000000000000
